user,icon,message,image
Lyudmilia,Yuul B. Tako,"WAH! Happy anniversary, Ina! I can't believe it's already been a year since you debuted. I didn't expect how much of a positive influence you do in my life and many others. This past year has been nothing short of spectacular. The thing that surprised me was you announcing an original song. I've listened to VIOLET every day since it was released! Thank you for everything that you do! I always say this; I can not thank you enough! Here's to next year and many more! I love you!! ",
Meepy,Takodachi,"Hello inaaa, congratulations to your 1st anniversary since debut. I still remember that your design caught my eyes the most due to those tentacles and after your debut, i'm more attracted to your comfy voice and beautiful artwork. Sadly that my time doesn't really match with your time when you started livestream, but i'll try my best to support you in any way i can. Happy 1st Anniversary to Ina.",
elushio Δ,Yuul B. Tako,Ina wah! Thank you for always making us happy and making us laugh. I'm always smiling whenever i hop on stream and i am very grateful for everything. Sometimes i am unable to watch your streams and laugh with you but i will always support you even if i can't show it i will always be ready to help as much as i can. I lost my passion in drawing way back then but after watching you i have started practicing again and Ina thank you so much for everything (i need to get better). We love you so much.,Untitled4_20210825111838_-_Hail_Hail.png
Mumei's Protection Order [First Knight],Takodachi,"Thank you very much for giving us such fluffy and relaxing stream to look forward to, O Priestess. Watching your stream in the morning or after works is really helping me staying positive. I especially like your pun, it never fail to make me laugh and brighten my day.

Thank you for being you, Ina. ",
Esper,Tako Ina,"Hello Ina! Happy 1 year anniversary! It's been a WAHnderful year, thank you for inspiring me to become an artist and take up the pen once again, hope we get to see you for many years to come, best wishes.",Ina_Sub_-_Esper_Zen.jpg
Rayvon,Takomfy,"Hi Ina. Congratulation to your one year anniversary. Thank you for the countless hours of comfy and punny streams. I enjoyed every second of it and I'm looking forward to many more.

Violet is a great song and your voice is a perfect fit for this kind of song. I hope to hear more originals from you in the future and at some point, even see you on a live concert.",
Padoru494,Takodachi,"I like your Inapuns very much!!! Your original song too very nice!!! Anyway, nice to meet you and happy anniversary XD  I will support Hololive until the very end of my life OwO",
Kiuytrd,Takomfy,"Love you Ina! It’s always such a treat to listen to your gently voice while going about my day, you always bring a nice comfy warmth to my day~!",584568E5-8C44-4523-AF88-385452A02B94_-_Kiuytrd.jpeg
Timofee,Takomfy,"Congratulations on the 1-Year Anniversary!!! Your comfy streams have been key to getting me through such a difficult year. Here's to all that was achieved and all that is to come! 🥂
P.S. keep up the 🐨🍵 puns :)",
Jex,Mori Tako,Happy anniversary Ina! The past year has been filled with amazing moments and amazing art from you and it truly has been a blessing watching your content. Here's to another year of Ina and please continue to be awesome and making amazing art. Wah!,
Khatsu,Tophat Tako,"Happy 1st anniversary Ina! A few days after I fell into the rabbit hole of Hololive in late June of this year, I joined the Tentacult and bought your birthday merch without a second thought because you were my favorite and I fell in love with your content instantly! I am very thankful for your streams as they help me get through my work days and keep me motivated to finish my shift. Thank you very much and here's for the years to come! WAH!",
Reading Robot,Robodachi,"1 year already? Time goes quickly. Seems like only yesterday that this wonderful comfy tako friend came into our lives and I'm very glad she did. Ina inspired me to keep pursuing my passions and always, always, take it easy.",
Smaltin,Violet Tako,"Wah! Congratulations on your first anniversary! I've been here since the day you debuted, and every moment along the way was worth being a part of. Violet is an amazing song, and I'm looking forward to more in the future! Enjoy your anniversary, and I'm looking forward to the future!",
eamon.long,Takodachi,"Happy Inaversary!
Your streams are very calming and chill, please continue doing a good job!",happyinaversary_eamon_long_-_Thanh_Long_Strothmann.jpg
keyudragon,Takodachi,Happy 1 Year Anniversary Ina!!! Its been a great 1 year with you. Thank you for all the ina pun and your calm drawing stream. So lets walk together and see each other again and again next anniversary.,
Jan,Takodachi,I wish i could write so much more. I love how comfy you are and wanted to thank you.  If i could ever ask anything id ask you to try and sing alone with you by egoist.  I love your karaoke streams and taste in anime.  I guess INA-sense thank you for the WAHn year anniversary!!!!,
Inabasa (Ina #2),Takomfy,"Congratulations Ina! You've been a great inspiration to me (as a fellow Ina myself) and I started using CSP and really taking my drawing more seriously because of you. You inspired me alot to become a VTuber myself and I'll forever be grateful to you. Even if I can't always attend your streams, I'm really happy to see how far you've come. Once more, congrats!!! ",inacongrats_-_Inabasa.png
Sen,Yuul B. Tako,"Thank you for this year Ina it has been an incredible one and I have thoroughly enjoyed, thank you again for everything",
League of Penguins,Takodachi,"ninomae ina'nis, you helped me when i was on a slump so i wanted to thank you. i'm bad with words but i hope my feelings of gratitude will reach you.",
SummerRain,Yuul B. Tako,Wah! Happy First INAversary~ I enjoy watching your content so so much~ Thanks for everything so far! Hope to catch more of your wonderful streams and will continue supporting you forever and everrrrrrr! For many many more years to come~ Thank you always for just being Ninomae Ina'nis~ Love <3<3<3 Enjoyyyy your INAversaryyyyyyy!,
Wololo Sensei,Yuul B. Tako,"Wololo! Hi there, hope you are having an awesome day, I wanted to say thank you, it's been a year already since debut, crazy huh? But yeah, thanks for making my days and the days of a ton of people brighter. The content you create, and seeing you having fun with the rest of the girls and chat makes me smile, cheers! And lets hope for many celebrations like this one to come.

I love the community that you have built, takos are amazing. Again, thank you Ina for being you. WAH!",
Kaito-kun ,Takomfy,HAPPY ANNIVERSARY INA! Tako~,
Bruhkodachi23,Takomfy,"Hello ina ina inaaaaaa! Happy INAversary! 

Thank you for the comfy streams that makes me feel calm, especially when I suddenly up at midnight when I get too stressed in uni. You are my absolute favorite vtuber, and its cool to see you grow this past year. Luv u lots, I'm really proud to call myself a takodachi. <3

P.S. Are you interested in playing fighting games (tekken etc.)? would love to see you play some in the future",
ST,Violet Tako,"Hey Ina hope your doing well and keep on the good work, a lot love from indonesia",
LSTMPD,Takomfy,Hello Ina! Congratulations on your success over the past year! Looking forward to seeing you grow in the scene in the future! Wah~,
TheOnePaladin,Takodachi,"Hey High Priestess Ina! I really appreciate all the hard work you've put in for us over the past year. You are a real inaspiration for everyone who has a passion in their lives that they want to work towards, even in the hard times. May you have many more anniversaries to come!!!!",
Ale,Takomfy,"You've grown so much over the past year! Thank you especially for all the puns. Tako care! 

",takoDerpi_-_dogion_cation.png
évoli,Hollow Tako,"Hi Ina!!!
I ve discovered hololive thanks to your hollow knight playthrough and since then I can t get enough of my daily dose of reconfort all the girl and you in particular gave me. I'm so greatful!
Congrutalution for this first year, you are awesome!",
,Takomfy,"Ina, thank you so much for an amazing year, I know I wasn't able to watch you as much as the others due to my timezone, but I always tune in whenever the times match up just right. Your comfiness really heals, and your art is just stunning. Hope you and the girls enjoy your anniversary together!",
Ziza_art,Yuul B. Tako,"Our dear oshi, Ninomae Inanis, thank you for a year full of heartwarming memories. We'll never get INAFF of your puns, WAHnderful art and your charming self. ~oya-oya ;^)",
Deracts,Yuul B. Tako,"Happy Inaiversaries priestess. This past year definitely become much brighter because of you and the whole EN gang. You always inspire me to keep drawing and remind me that the process itself is fun and not just for the finishing pieces, something I nearly forgot. Thank you so much and I hope you will have even more fun and happy times streaming from here on out too!",Inaversarie_-_Deracts.jpg
arregillz,Tako Kiara (Tako Bell),Happy anniversary Ina and thank you for brightening our day every time you stream! wah!,
Kinitsan,Yuul B. Tako,"Hello!! Inaa your streams helped me keep my sanity in check during my last semester on my local university, and for that Thank you!! God bless you and more power 💗 ",
Besi,Takodachi,"WAH! Inaaaa Happy Innaversary~
I'm not good with words but I'd like to let you know I appreciate you a lot :) I love your streams, your art, your silly jokes, your community and everything about you Inaa ;-;  You inaspire me to work hard and improve my art but also to lay back and enjoy myself sometimes. I hope this year has been good to you and I hope next year will be even better <3",grey_jacked_ina_color_finished2_small_-_Besi.png
SinDemon,Tophat Tako,"Happy anniversary Ina! It feels like only yesterday that we were wishing you a happy birthday, celebrating your six months, or congratulating you on 1 million subs! Time flies when I'm spending my evenings watching your comfy streams with the takodachis. I've done a whole year at university and graduated in the time since you debuted, and I couldn't have done it without you and this community. Thank you for everything, and here's to many more years! WAH!",painTakodachiWAH_-_SinDemon.png
Yuzzz,Takodachi,Thank you for inspiring me again to draw. You're the reason that I was able to regain my passion to draw what I want. I was about to stop drawing but because of you I was able to realize that I should draw what I really want to draw instead of forcing myself to do other things. I'm really looking forward to watch your future streams and also congrats in your INAnniversary..,InArt_20210824071039_-_Uwu_Yuzuru.png
Krepa,Takodachi,"Hey Ina, I haven't been a Hololive fan for long, but after watching your drawing stream and your Minecraft streams, I've been a Takodachi ever since. Hope you have a great Inaversary and lots more great times after, thanks for bringing so much joy to us Takos. 

With love from the Tentacult. ",
Crashy,Takomfy,"Ina, Ina, Inaaaa! Congratulations on your first year anniversary, best tak- I mean normal human priestess. Thank you for all the comfy, fun and drawing filled hours you spent with us this year and here's to many more! Wah!",
Glaze,Takomfy,"Happy 1st Wah-nniversary, Ina! Just a year ago when you first debut, you were honestly the most mysterious one to watch (at least for me) out of all the 1st gen members. But now, after a year, you've gained more than 1 million takos to follow you, including me! I may not watch all your streams thoroughly but I'm glad I get to see your smooth progress and enjoyment on what you do, especially your art. Inaff said, again, happy 1st Wah-nniversary and enjoy the rest of your day! ",
Raza,Takodachi,"Wah! Ina happy anniversary! You made me laugh in loneliest moments of last and this year, hope you will stay with us forever! <3",
Creqaw,Takodachi,"Hi Ina, 

Congratulations on your 1 year anniversary and I hope that you will stay for many years to come!

The worldwide pandemic caused stress levels to go up at work but Hololive and particularly your comfy streams truly calm me down.

Even though I cannot really watch full streams live due to timezones, I always look forward to at least hear you ""wah"" live, watching all the Takodachi following in chat before going to bed and watching the VOD throughout the day.

Once again, congratulations!",
,Takomfy,Congratulations on your anniversary and thank you for all the hard work!,
Setsune,Tako Kiara (Tako Bell),Wah! Congratulations for your ONE YEAR INA'VERSARY!,
eul,Takodachi,"Happy Anniversary Ina!! Hope you are enjoying your best on this fabulous day. I have not been a takodachi for long, but ever since discovering your channel has made my daily life much entertaining and enjoyable. Thank you for being yourself and am looking forward to more of your content in the future. Make sure to eat lots of cake! ^w^b",
Hardtgang,Yuul B. Tako,"I can't believe it's already been a year.

Though this year wasn't always the greatest, but I'm happy that I could spend it as a part of the community. Watching your streams and hearing you talk about the things you enjoy always calms me down and improves my day. You even helped me reignite my passion for programming.

Thank you for one amazing year and happy anniversary!",
CC,Violet Tako,"WAH! Hello, Ina! This is my first time giving you a message and I want to say congratulations on your first aniversary! Thanks for giving us great streams, especially with #HoloMyth genmates and #HoloJP seniors as well. That is all, love ya Ina and to the fellow takodachis! Peace ✌️.

P. S: Your original song VIOLET is banger and I can't get INAFF of it XD. STREAM VIOLET!!!!! ",
realhumantea,Hollow Tako,"Ina! Happy anniversary! 
I discovered you because of your Hollow Knight streams and I'm really glad I did. Thank you for everything you do, you really inspire me. 
Keep being you, Ina. You're awesome and don't let anyone tell you otherwise!",inaversary_-_Alexander_Niemi.png
EvertTheDude,Wonder Tako,"Hi Ina!

Wow its already a year later and i've got to say i'm very happy to always see you stream be it a calm drawing stream or a bit more action packed game (wonderfull 101) or like the recent gacha game (FGO ftw tho ;D) 

Hope to see more of your amazing streams in the future and your growth as a person!

Bless you for existing

And bless your stream zone timing :>

With kind regards 

Evert

",
LowEffort Tako,Takomfy,"Ina, you made me meet so many wonderful people and brought me so much joy I don't think words can describe how thankful I am for all you have done, hopefully this project and my tiny contribution made you remember how many people day's are changed due to your hard work. 
Happy Birthday to our dearest priestess, that gave so much happiness and comfyness to all of her (incredibly wholesome) takodachis! humuhumu",https://www.youtube.com/embed/RfwX5A_OGNs
YONGDAL,Violet Tako,:3 Thank you for your always positive mood u_u) ,3_final_up_-_.png
JellyM,Takomfy,Love your art! Love watching your streams always brings a smile to my face. Thank you for being so warm and comfy <3 Looking forward to another year of head pats humu humu,
,Ikadachi,"Happy Anniversary Ina, your Streams are one of my only  motivations these days to strive to get better in drawing in 3D and drawing as i fell into a big slumb in recent years. your Art is Amezing and whenever you Stream i can go full out Creating stuff. My next goal is creating a 3D Printable and painted Figure of you next <3 for even more Fun and productive years to come! ",E9BZ33hWUAAOfQg_-_o-_.jpg
Ghost Rider LSOV,Takomfy,"I'm not very good with words so... I really enjoy your chill drawing streams! Also, the puns, positive attitude, having fun when playing different games and your interactions with other Holomems, primarily the rest your Holomyth family. ^_^
Even if I have to do something at the same time, I'll be listening on the background, hope you'll have many more anniversaries to come! :D",
Logan,Yuul B. Tako,"Hi Ina,

I along with a lot of others want to let you know how you’ve been such a positive impact on our lives in this past year. I personally have had a year full of stress from loaded work schedules and school applications, but your streams and the tako fans have been a much needed escape for myself and I am very grateful for that. I know you’ll do even more great things going forward and I’ll be looking forward to seeing it all. 💜👍",
fabisalca,Tophat Tako,Your streams helped keep me sane during the pandemic. I love your drawings and your gaming streams. You have inspired me to start drawing again.,tako2_-_Fabi_Salazar.png
Epic,Takodachi,Ina is very cool! I really like Ina's chibi art style.,INA_-_Poptart_Pug.png
Rain Larcade,Takodachi,"Hallo Ina! If you're reading this, please know that you've done great this whole year. From your well-devised puns to your relaxing streams and your soothing voice, everthing has made my days better. 

It has been amazing knowing you and I will continue to support you. You have been and will always remain our cute and beloved punny tako!
",
bongo,Violet Tako,"Happy 1-year ina-versary, Ina! I've gotten so much joy from watching you and your genmates this past year. Thanks for all your hard work and for being you, love ya! (  ´ w｀ )7",inaversary_-_bongo.png
Michiel,Takomfy,Happy anniversary Ina!!,
SenpaiJake,Takomfy,Ina~~ you give me comfort and company during my breaks and tough work days. Thanks for everything you do! You'll always be the numbah wahn in my heart!!,
Sodium,Takodachi,"Congrats for your W A H nniversary, Ina! I rarely able to watch your livestreams (dangit timezones), but I love the comfy vibes, all the puns, and the arts you made! Keep being you (a tako) and here's to more happy years!",
Eric The Tentacultist,8-bit Tako,"Happy Anniversary Ina! Here's to another year of maximum comfy streams and many more WAH-nderful days with you! Can't wait to see what all you have in store for the Takodachis and Tentacultists this next year! Keep being INA-credible and enjoy some delicious snacks, you more than deserve all the good coming your way.",
hatsuzuki,Takodachi,Thank you for all the hard work. Your streams and the amazing community really changed my live.,
,Tako Ross,"Thank you Ina for inspiring so many of us to revive or even get into the world of drawing and art for the first time! Without you, I would've definitely continued without ever expanding what I thought I could do artistically. Thank you so much for being here with us! WAH",
,Takomfy,"Thanks, Ina, for being such a wonderful person. You have carried me through two semesters of college and will likely carry me through many more. I hope you know the sheer amount of happiness you bring for not just me but for all your Takodachis. You are appreciated and will be for a long time.",
TheDarkestUno,Takomfy,"Boy howdy, has it already been a year? Where does the time go? Anyway, congrats Ina on the one year anniversary!~ While the time may have seemed short, the amount of work, progress, and improvement you've achieved is nothing to scoff at. Thank you for all you've done in this past year. The Tentacult will await in anticipation to see what the next year has in store for the both of us. Keep on keeping on.",Ina_Pichu_Final4_-_Uno.png
Mosbby,Takodachi,Happy 1 year Inaversary! Heres a (bad) pun. Why do Takos have wiggly arms? Because they tend-to-curl! Wish you and all the takodachis another comfy and fun year! ,violet_-_Mosbby.png
Kergean,Takomfy,"Congratulations on your 1-year anniversary, Ina! Thank you for all the great moments this year and for many more to come. Drawing is something I rarely do but always enjoyed doing and I have been able to learn a lot from you. Your streams have helped me through some rough times and I have made great friends in the Takodachi community. I wish you nothing but the best and that you continue to do what makes you happy.",Kergean_Inaversary_-_Kergean.PNG
Amai,Violet Tako,"Happy Inaversary Ina! Congratulations on your first original song, and for one year of activities since your debut! Thank you so much for blessing us with your amazing art and your beautiful voice! Here's to many more years of happiness and vtubing to come!",inaversarypost_-_E_House.png
NuggetPlz,Takomfy,"Hi Ina! Just wanted to congratulate the most comfiest priestess who is totally not in a cult, you really work hard on everything you do and we takodachi's really appreciate it. This has been an awesome year thanks to your streams and collabs, plus every drawing stream is a blessing!.
I started drawing on a basic tablet because I felt motivated just by seeing you working on some sketches and talking with us, It's someting I wanted to do since I was a little tako.
Happy Anniversary !! = w=)7",InaONEYEARNuggetPlz6709_-_Nuggets_4_u.png
EpheMemory,Hollow Tako,"Time sure flies by. The first time I watched you live, I think was gesture drawing #531, thumbnail #214, and I thought, holy cow, this Tako must have been drawing for a long time! By this point, you have definitely inspired many Takodachis to start/practice art (myself included). In addition, though, thanks to you and your streams, many kind Takodachis have gathered about in a warm community. Happy 1st Anniversary, Ina, and may many more joyful days bless you! ",
Nyoto Kurogami,Takodachi,"Just.... thank you so much Ina! I started watching you in february and even though I was late, I felt absolutely welcome here. When I first started to get into hololive I already knew after watching the debuts that you are my absolute oshi! Your artstreams are so inspiring and motivating to start myself. I also really enjoy your gaming streams and your very own way of approaching games. I look forward to the future with many new projects, pieces of art, collabs and especially with you!",
Baloolax,Tako Ross,Praise the Priestess and the Ancient Ones! Thank you Ina for being an inaspiration and a joy to wahtch! I hope you find as much joy in seeing fan works (no matter how cursed) as we do wahtching you! Here's to wishing you and all the other girls all the best!,inaversary_-_Shaun_Kam.jpg
An Anonymous Braincell,Takomfy,"Ina, thank you so much! I started watching you a few weeks after your debut, and I'm really glad to have chosen to do so, since then I took up drawing as a hobby and your streams are always comfy and welcoming. Please keep being you, Ina!",
Apramaru,Takomfy,Thank you for everything in this 1 year with all the comfort and Wahderfull stream. We All Happy for your pun and make all Takodachi say Inaff because of that. At least I want to say good luck for the future stream and we will waiting for another AMEzing stream. Cya.,
aeyuak,Takodachi,Wah! Happy Inaversarry Ina!! Thanks for all the nice and comfy streams thus far! I especially love drawing along with the artstreams. Here's to more inaniversaries and more art in the future! Wah!,inahanbok_-_Ken_Presbitero.jpg
WowDogeWow,Yuul B. Tako,"Ina congrats on your anniversary! I would like to thank you for hours of great entertainment and comfy atmosphere. The amount of effort you are putting into your work is enormous and me as well as other takos are really happy to have such a hard working priestess. Personally I would like to thank you for getting me through some really hard times, making me smile every single stream and making my life a bit more brighter. Thank you Ina and I hope this is only beginning of this WAHnderful journey.",
Xin,Yuul B. Tako,"Wah! 
Ina congratulations on 1 year anniversary. When Cover first announced an English hololive branch I was sceptical at first but as soon as I started watching I knew I was in for something WAHndaful! Whether it be a comfy drawing stream or a intense game session I always find myself looking forward to each and everyone.  So I'm really looking forward to what you have in store for us takodachi's from now on!! Onwards to 2 years and beyond!!",
Charismata,Takomfy,"Happy 1 year INAversary! Time sure flies, doesn't it? You've investigated Darkwater, battled through the underworld, visited Hallownest and took us along many many fun and exciting adventures over the past year. It's been a comfy and pun-filled ride and I wouldn't exchange any of it for anything in the world. Thank you for all the fun games. Thank you for all the amazing art streams. Thank you for the karaoke streams. But most importantly, thank you for being you. You're the best, Ina! WAH!",
Toast Ghost,Takomfy,Hi Ina Happy 1 Year Inaversary! Love you loads and keep up the amazing work <3 ps I’ve not drawn anything in years but I thought I’d at least make some kind of attempt for this occasion. Please be nice to my misshapen little Tako!,10D72927-8A01-41DB-8A29-DAF2EC72B72E_-_Chain_List.png
Kuronezumi,Tako Ross,"Ninomae Ina'nis, its been a whole Tako year, that's 365 days of Tako Time, and boy has it been a fun ride with you and the Takodachis. Your art streams helped me out of a loooong slump and I started drawing again, its just some doodles every now and then when I get the time in my busy schedule- but not drawing at all wouldn't be good. I'm truly happy you came into mine and all the Takodachi's lives I can't imagine a world without you anymore. Here's to another Tako Year-!!",
,Takomfy,"Wah! Congrats on your 1 Year Inaversary! Thank you so much for your streams, Ina! I've been watching you since your debut and I've really enjoyed watching you. Your voice is always so soothing and sweet. Because of your art streams, I've gotten motivated to start drawing again. One day, I want to publish my own webcomic. I'm really, really glad you joined Hololive. I haven't drawn in a while so my art skills are a little rough but I hope you like it anyway!! Thanks for everything, Priestess!",Ina_-_Jaii_C.png
Leo,Takodachi,"I always want to do pixel art but I don't know where to start. I was inspired by you by how dedicated you are in your art.

Thank you for your hard work. I love your content specially your drawing streams I feel like I my motivation rises when I watch you work.

I'm excited to see your future content. Happy Inaversary :) ",takoeats_1_-_Festus_Happy.gif
Phosphatide,Hollow Tako,"Congratulations on your first anniversary, Ina’nis! It’s been a wonderful year being able to watch your streams, which have always been uplifting and perhaps even therapeutic; I could always count on you to brighten my day any day. Here’s to another year, and thank you always!",
Darkrua,Takodachi,Happy first INAversary Ina! We love you!,view?usp=sharing
Takomonty | タコモンテ,Tako Ross,"Happy Anniversary HoloMyth!

I hope the five of you have an amazing time, and can look back on all you've accomplished over the past year with pride and joy.

Ina, thank you so much for all the fun, comfy streams and being a shining inspiration.

You were the spark that single handedly brought back a burning passion to learn, grow, draw, and animate again. I lack the words in any language that can accurately convey how grateful I am.

本当にありがとうございました。Here's to another year! Wah!

-Takomonty ",InaViolet_Takomonty0817_08282021_publicversion_Innaversary_-_Tako_Monty.png
falacin,Takomfy,"Here's a little poem. Enjoy it! :3


Ina’nis


Not here, nor nowhere,
I’m invisible like air.
Nothing around me but pity,
Or my own feelings of being ugly.


Maybe I heard this call
Anyway, I came with the nightfall.
Ending in a puddle, I met our goddess:
Ninomae Ina’nis, an honest priestess.


Instead of paying, she has puns.
Near to her, a calm campfire
Or the strong feeling of, deep inner.


Monster, maybe I am.
A Takodachi surely I became
Et inanis adimpleam me et gaudium",
SmileyThing,Takodachi,"Happy Inaverary !
Ina inspire me to draw again (even I'm still not good at It), I hope one day my drawing will be decent enough for you to see , love you Ina & Thank you for everything! wah~",congrats_-_BxxTf141.png
JaySee,Tako Amelia (Takoson),"INAA!!!! HAPPY ANNIVERSARY!!! I cannot believe that it has already been 1 year since the announcement of HoloEN, and i have to say that it has been one wild ride for me. I love how you grew more and more confident the more you got comfortable with all this. It can be hard being the pioneer batch, but as we, your fans, can say that all your efforts were not wasted, but worth it. WE LOVE YOU, NINOMAE INA'NIS",
Compa,Yuul B. Tako,"Ina! Happy Anniversary! It doesn't feel like it's been a year but here we are! Watching you grow from your debut to now has been a wonderful experience and I can't thank you enough for all the hard work you've done this year. Your streams and art has helped me a lot and it's something I'm always looking forward to seeing, so please keep it up! I'll continue supporting you for as long as I can! <3 ",image0_-_Compa.png
AnakissHunter,Takodachi,"Hello Ina, there are so many things I want to thank you for. For being an artist that's inspired me to pick up the pen again. For being a person that's inspired me to better myself as a human being. But most of all, for being one of the reasons I look forward to tomorrow, whether it be a drawing stream or a group collab, you are one of the reasons why I love life. You've helped me through so much and I have nothing but gratitude for you and the rest of Hololive, thank you, and WAH.",Ina_Tribute_Piece_-_Sean_Johnnsen_Derama_-_Resubmitted.png
gudanco,Mori Tako,"WAH! Happy anniversary Ina!! It's been a year since Holomyth debuted, time flew by so fast it feels like we've time traveled to the future. I really love your chill atmosphere and I can't get Inaff of your puns. You've been a really big inspiration to me! My motivation that's been with the grim reaper for such a long time has been reborn and It's chomping down on my soul telling me to get my shit together. I wish you all the best in the future years to come!",Inaversary_-_gudanco_-_resubmission2.png
Hecks,Hollow Tako,"Happy Anniversary Ina!! Just wanted to say thank you for all of the streams over the last year, it gave a lot of people a needed respite during a rough time. Hearing you speak about art, design, and the whole process gave me the push I needed to sit down and start learning, after telling myself that I couldn't for over a decade. Thank you for everything <3 -Hecks",
BluBerryBingsu,Takomfy,Thank you Ina for being the comfort ever since you debut. I can't explain how you made me feel at ease in times of tension. Thank you for all the tips and advice especially during your drawing streams. Cheers for more streams to come! Happy Inaversary! ,inaversary_-_Mark_Dionisio.png
Shirren,Robodachi,Hey Ina! Thanks for all the hard work and entertainment you've given us over this past year! Looking forward to listening and supporting you for many more to come!,
Jinmizu,Yuul B. Tako,"WAH! Hello Ina, thank you from the bottom of my heart. Prior to discovering you and afterwards other VTuber artists I wanted to completely stop drawing. You are always so encouraging and inspirational that I slowly enjoyed doing it again and now I am really eager to Improve however long it takes. I also just love the whole comfy atmosphere around you and this wonderfull community. I am so proud to call myself a Takodachi and I whish you the absolute best for your future! Happy Inaversary!",Inaversary_-_max_schulze.png
Tian Sik,Violet Tako,"Ina! Congrats for one year anniversary YAY! 
It was you who taught me to step out.
It was you who gave me an opportunity to know how delightful drawing can be.
Yes I picked up a pencil, I tried, I felt, I enjoyed, I engaged.
It was you who share this treasure with me.
I'd like to appreciate, Ina sensei, it do means a lot to me, will never forget |=w=)7",Inaversary-2_-_J-How_Huang-adjusted.png
Vitah-108,Takodachi,"Happy Inaversary, Ina! I was in a very difficult spot in my life but your wholesomeness always helped me to unwind. The thing you said about going at your own pace, focusing on finding what you love (about drawing) first, and accepting that some people will simply not like you helped me with my own struggle. You were, is, and always will be my Oshi.",
McArkus,Takomfy,"Congratulations Ina for 1 year of streaming! Since HoloMyth debut I watched most of your streams and always found them fun to watch and great to interact with, form the games stream to drawing, watchalong, karaoke or just talking, always had a fun time. Thank you for all your hard work, very comfy streams and for making me realize that even if I followed a different path in life, is never late to express yourself. Will keep working on improving my art and supporting you in this journey.",1st_inaversary_simple_-_McArkus.png
Ryusei,Yuul B. Tako,It's been a wild ride so far huh? Ina I want to thank you from the bottom of my heart for everything you've done for us. Your streams and passion about everything you do helped me a lot during hard times. Through you I've discovered a wonderful community of amazing and talented people. Loved everything stream/project you've done so far and can't wait to see where this journey will lead us to. Keep on shining!,
willkurr,Takodachi,"Congrats, and thank you for an entire year Ina! It has been an absolute blast watching you and the rest of EN this past year. Thank you for all the comfy streams, whether it be chatting, drawing, karaoke, gaming, collabs, and much more... They always bring joy to my day. So much has been achieved in just this year. I could go on and on, but in short, you really are an inspiration to me and others, which is why you also have such an awesome community of takodachis. I look forward to the future! ",
LosFroger,Hollow Tako,"I can't believe it has been a full year since your debut. Your comfy streams always brighten my days, your abilities and hard work never fail to inspire me; I've learned so much from watching your streams. World domination is getting closer and closer with each passing day, kanpaINA! ",InaLagtrain_-_los_froger.gif
AnAnyoneTako,Tako Ross,"WAH!! One year!! Congratulations for this first anniversary!!!. It's seems like it was yesterday when you started to share your smile with us, your Takodachis. I really want to thank you for all the laughs, jokes, conversations shared, and specially from my part, for your amazing art, because you've turned into a model to be followed for me, that keeps motivating me to draw and practice everyday to someday be as good as you. So, from the bottom of my heart, thank you for everything <3.",For.Ina_-_Hernan_Alvarado.jpg
Doug Rattman,Takodachi,"   One of the first things I'd like to say is, thank you for being you, Ina, it's been awesome hearing all of your stories and experiencing so many new games with you! I'm not one for words, but as always, I wish you all the best in the future, and 10Q for taking time out of your busy life to spend with us! Here's to the Tentacult, and what a WAHnderful year it has been with you! ( ◜‿◝ )♡",
NasbyArt,Ikadachi,"Happy WAH~n Year anniversary! Really enjoy your streams Ina. They are very calm, relaxing, and I love the puns. I usually don't get to watch live, but enjoy the archives. I always look forward to watching the archives once off of work! Also really love your art style. Also you make me want to start streaming myself!",Tako_bounce9_-_NasbyArt_-_Resubmitted.gif
Orinte,Yuul B. Tako,"Happy 1 year anniversary Ina! Discovering you one year ago really changed my life for the better, and I am grateful to you for inspiring me to return to drawing and really work on improving. Your streams never fail to make my day better, and it has been amazing seeing the achievements you have made over this year. Thank you for being you. I look forward to seeing whatever it is that you do in the future!",sketch289c_-_Orinte_H.jpg
alewon413,Takomfy,"Already your anniversary Ina, it's been a crazy journey! When I started drawing, I started off alone with no one to confide with about the struggles of line-art, or how hard it was to get proportions right. Then, when I thought all hope was lost, HoloMyth was announced! From there the rest is history; your drawing streams inspired me to pursue my passions and never give up! Thank you Ina and to the community you have built, I look forward to what you have in store for us Takodachis :) ",InaversaryDrawing_-_Alexander_Wong-Edited.jpg
Snowy,Takomfy,"Congratulations on making it through the first year Ina! This last year was kind of difficult since the real world, but as you said before you really did add the color to my own world when it was all dull and gray. So from the bottom of my heart, and all of the tentacult, for adding color to our worlds, for making us happy when we watched you, for making this amazing community, thank you Ina.",
Penn,Violet Tako,"Ina Ina Ina~ 
Thank you for a wahnderful year! 
I've only been a Takodachi for a few months, but I really love your comfy streams! I enjoy watching your drawing streams and made me want to draw again! 
Thank you for being an Inaspiration to us! (灬ºωº灬)♡",20210830_ina_-_Pen_Guin.png
Jamuko,Takomfy,"Inaaaa~~ It's been a great year of WAHnderful streams! Getting to know you has made a big impact on me and my art so far. I drew the original sketch of this picture way back after you debuted, during your first Ame drawing stream... and finally finished coloring it now, almost a year later. I was able to fix a lot of things about it the second time around! I don't usually improve much in a year, so I'm happy (❁´◡`❁) Thank you for the tips! I love the redjuice pencil and close+fill tool!",Jamuko-Inanniversary_-_Jamuko.png
